symbol,date,open,high,low,close,volume,adjusted
ZM,2019-04-18,65,66,60.320999,62,25764700,62
ZM,2019-04-22,61,68.900002,59.939999,65.699997,9949700,65.699997
ZM,2019-04-23,66.870003,74.168999,65.550003,69,6786500,69
ZM,2019-04-24,71.400002,71.5,63.16,63.200001,4973500,63.200001
ZM,2019-04-25,64.739998,66.849998,62.599998,65,3863300,65
ZM,2019-04-26,66.120003,66.989998,63.599998,66.220001,1527400,66.220001
ZM,2019-04-29,66.529999,68.5,64.75,68.169998,1822300,68.169998
ZM,2019-04-30,68.400002,72.519997,66.669998,72.470001,4113100,72.470001
ZM,2019-05-01,72.720001,76.949997,70.816002,72.760002,3301900,72.760002
ZM,2019-05-02,72.75,75.889999,69.691002,75.5,2525300,75.5
ZM,2019-05-03,75,80.25,75,79.18,2590300,79.18
ZM,2019-05-06,75.010002,80.790001,74.5,78.239998,2051800,78.239998
ZM,2019-05-07,77.849998,78.050003,73.25,73.330002,1975200,73.330002
ZM,2019-05-08,74.610001,78.5,74.029999,77.68,2265500,77.68
ZM,2019-05-09,76.849998,76.989998,74,75.209999,1348200,75.209999
ZM,2019-05-10,75.790001,79.739998,74.769997,79.629997,1555100,79.629997
ZM,2019-05-13,77.389999,77.389999,70.599998,72.540001,2873200,72.540001
ZM,2019-05-14,74.120003,76.885002,73.110001,73.139999,1950400,73.139999
ZM,2019-05-15,73.400002,80,72.209999,79.760002,2426500,79.760002
ZM,2019-05-16,80.120003,87.550003,79.25,83.400002,4580700,83.400002
ZM,2019-05-17,82.25,90.279999,81.879997,89.980003,3442500,89.980003
ZM,2019-05-20,90.099998,91.459999,83.269997,84.669998,3666800,84.669998
ZM,2019-05-21,86.629997,89.699997,84.5,85.440002,2576000,85.440002
ZM,2019-05-22,84.629997,85.699997,82,82.43,1596400,82.43
ZM,2019-05-23,81.25,81.5,77.260002,78.760002,2856000,78.760002
ZM,2019-05-24,80.480003,81.25,74.199997,76.25,2946800,76.25
ZM,2019-05-28,76.800003,79.389999,76.800003,77.769997,1641300,77.769997
ZM,2019-05-29,77,77.93,73.583,75.769997,1512100,75.769997
ZM,2019-05-30,76.68,80.970001,76.599998,80.419998,1996000,80.419998
ZM,2019-05-31,78.769997,83.169998,77.779999,79.730003,1594300,79.730003
ZM,2019-06-03,80,81.940002,75.650002,75.900002,1570500,75.900002
ZM,2019-06-04,78.199997,78.879997,76.620003,78.739998,1134900,78.739998
ZM,2019-06-05,80.139999,80.599998,76.239998,78.040001,1295800,78.040001
ZM,2019-06-06,77.400002,79.75,77.029999,79.43,3024000,79.43
ZM,2019-06-07,93.660004,98.889999,92.5,94.050003,9487800,94.050003
ZM,2019-06-10,98.510002,105.985001,96,102,4852800,102
ZM,2019-06-11,101,101.199997,91.57,94.870003,4372400,94.870003
ZM,2019-06-12,94.599998,104.184998,94,102.769997,3156900,102.769997
ZM,2019-06-13,105.099998,105.171997,98.550003,100.949997,3189100,100.949997
ZM,2019-06-14,100.470001,104.57,99.25,100.290001,1889300,100.290001
ZM,2019-06-17,101,102.446999,97,98.110001,2128500,98.110001
ZM,2019-06-18,100.389999,102,97.510002,99.639999,2272400,99.639999
ZM,2019-06-19,100.489998,104.445,98.629997,102.389999,2592700,102.389999
ZM,2019-06-20,105.010002,107.339996,101.621002,102.300003,2460700,102.300003
ZM,2019-06-21,101.419998,101.531998,97.82,100.470001,2972500,100.470001
ZM,2019-06-24,100.849998,101.5,88.879997,89.410004,6011200,89.410004
ZM,2019-06-25,89.43,91.5,84.629997,85.029999,3744500,85.029999
ZM,2019-06-26,87.919998,89.080002,84.605003,86.330002,2680000,86.330002
ZM,2019-06-27,89.699997,92.330002,87.800003,90.269997,3019500,90.269997
ZM,2019-06-28,91.760002,92.199997,87.25,88.790001,3228300,88.790001
ZM,2019-07-01,85.129997,87.790001,83.099998,86.860001,5306600,86.860001
ZM,2019-07-02,86.269997,86.849998,84,85.129997,1866000,85.129997
ZM,2019-07-03,85.449997,90.599998,84.510002,90.449997,2706100,90.449997
ZM,2019-07-05,90.139999,91.970001,88,91.879997,2582700,91.879997
ZM,2019-07-08,91.440002,92.790001,89.889999,90.760002,1793300,90.760002
ZM,2019-07-09,90.269997,91.269997,89.099998,90.93,1557400,90.93
ZM,2019-07-10,91.760002,93.449997,91.550003,92.720001,2059300,92.720001
ZM,2019-07-11,92.900002,93.199997,90.452003,91.400002,1784600,91.400002
ZM,2019-07-12,93.010002,94.93,91.370003,93.300003,2689700,93.300003
ZM,2019-07-15,94,100.650002,93.779999,99.800003,3835600,99.800003
ZM,2019-07-16,100.139999,100.5,96.5,97.099998,2120100,97.099998
ZM,2019-07-17,97.620003,101.987,97.540001,99.730003,2314100,99.730003
ZM,2019-07-18,99.239998,99.5,95.015999,95.190002,1948800,95.190002
ZM,2019-07-19,97.150002,97.790001,92.879997,93.379997,1747700,93.379997
ZM,2019-07-22,94.190002,97.464996,93.504997,96.669998,1483000,96.669998
ZM,2019-07-23,97.5,98.150002,93.519997,97.389999,2241700,97.389999
ZM,2019-07-24,97.120003,97.879997,94.684998,95.940002,1283700,95.940002
ZM,2019-07-25,95.839996,99.599998,95.75,97.110001,1870300,97.110001
ZM,2019-07-26,97.949997,104.489998,97.830002,102.199997,3040700,102.199997
ZM,2019-07-29,102.599998,102.998001,92.099998,96.470001,4230300,96.470001
ZM,2019-07-30,95.190002,99.349998,94.029999,95.489998,1635500,95.489998
ZM,2019-07-31,96.43,97.5,93.5,95.510002,1514700,95.510002
ZM,2019-08-01,95.75,98.660004,93.800003,95.099998,1530400,95.099998
ZM,2019-08-02,94.919998,96,92.566002,93.660004,1117100,93.660004
ZM,2019-08-05,90.699997,91.190002,87.290001,89.690002,1774400,89.690002
ZM,2019-08-06,91.5,92.290001,88.099998,90.43,1028700,90.43
ZM,2019-08-07,89.019997,93.160004,88.019997,92.449997,996100,92.449997
ZM,2019-08-08,93.57,95.839996,93.019997,95.769997,925600,95.769997
ZM,2019-08-09,94.790001,95.489998,93.309998,94.199997,800500,94.199997
ZM,2019-08-12,93.050003,94.18,91.110001,92.160004,779300,92.160004
ZM,2019-08-13,92.059998,96.223,92.059998,95.449997,1167200,95.449997
ZM,2019-08-14,93.199997,94.522003,89.889999,92.650002,1265700,92.650002
ZM,2019-08-15,92.769997,93.440002,89.690002,90.639999,1079800,90.639999
ZM,2019-08-16,92.120003,95,92.080002,92.529999,1259300,92.529999
ZM,2019-08-19,94.18,96.199997,92.889999,93.169998,1226000,93.169998
ZM,2019-08-20,93,93.57,91.139999,91.410004,746100,91.410004
ZM,2019-08-21,92.860001,94.181,92.353996,93.010002,760000,93.010002
ZM,2019-08-22,93.480003,95.5,91.57,93.879997,883000,93.879997
ZM,2019-08-23,93.139999,94.129997,90.410004,91.629997,1368400,91.629997
ZM,2019-08-26,92.330002,93.5,91.449997,91.760002,697400,91.760002
ZM,2019-08-27,92.599998,93.690002,90.440002,91.730003,825800,91.730003
ZM,2019-08-28,91.160004,91.379997,88.710999,90.160004,1148300,90.160004
ZM,2019-08-29,91.5,92.68,90.699997,90.870003,851800,90.870003
ZM,2019-08-30,91.82,92.419998,89.019997,91.669998,1186100,91.669998
ZM,2019-09-03,91.5,94.239998,90.75,92.459999,1538900,92.459999
ZM,2019-09-04,93.949997,96,93.18,93.529999,2400700,93.529999
ZM,2019-09-05,94.239998,94.379997,88.510002,92.690002,4991800,92.690002
ZM,2019-09-06,92,96.5,84.860001,85.410004,7289700,85.410004
ZM,2019-09-09,85.75,85.940002,77.199997,78.650002,6713800,78.650002
ZM,2019-09-10,77,81.221001,76.809998,80.349998,2813200,80.349998
ZM,2019-09-11,80,81.860001,78.5,80.709999,2013600,80.709999
ZM,2019-09-12,81.449997,82.650002,79.900002,81.529999,1955100,81.529999
ZM,2019-09-13,81.57,82.475998,78.269997,78.849998,1416800,78.849998
ZM,2019-09-16,78.5,80.989998,78.260002,80.669998,1630100,80.669998
ZM,2019-09-17,81.489998,84.82,79.529999,84.639999,2539900,84.639999
ZM,2019-09-18,84.400002,86,83.5,84.550003,1835400,84.550003
ZM,2019-09-19,85.199997,85.349998,83.25,84.620003,1266600,84.620003
ZM,2019-09-20,85,85.349998,81.5,82.629997,2050100,82.629997
ZM,2019-09-23,82.290001,83.599998,81.800003,82.620003,677000,82.620003
ZM,2019-09-24,82.43,82.93,79.459999,80.019997,2145400,80.019997
ZM,2019-09-25,79.120003,79.989998,76.080002,79.599998,1924100,79.599998
ZM,2019-09-26,79.25,80.620003,78.614998,79.75,920000,79.75
ZM,2019-09-27,79.690002,79.824997,75.089996,76.040001,2347400,76.040001
ZM,2019-09-30,76.129997,77,74.290001,76.199997,1356500,76.199997
ZM,2019-10-01,76.43,77.489998,75.209999,75.809998,1378100,75.809998
ZM,2019-10-02,74.5,75.779999,73.660004,73.849998,1388700,73.849998
ZM,2019-10-03,73.900002,78.489998,73.389999,76.830002,2605800,76.830002
ZM,2019-10-04,77,77.782997,75.279999,76.529999,1799500,76.529999
ZM,2019-10-07,76.989998,77.43,75,76.989998,1432200,76.989998
ZM,2019-10-08,76.010002,76.353996,72.580002,73.589996,3156600,73.589996
ZM,2019-10-09,74.220001,75.059998,72.75,72.860001,1490100,72.860001
ZM,2019-10-10,72.860001,73.779999,71.010002,71.010002,2282200,71.010002
ZM,2019-10-11,71.370003,72.889999,70.902,71.349998,2391800,71.349998
ZM,2019-10-14,70.459999,71.239998,69.550003,70.800003,2218100,70.800003
ZM,2019-10-15,68.760002,71.269997,68.379997,71.110001,10576600,71.110001
ZM,2019-10-16,69.699997,69.949997,66.510002,67.690002,6061400,67.690002
ZM,2019-10-17,67.089996,68,66.760002,67.029999,3496800,67.029999
ZM,2019-10-18,66.260002,66.93,64.529999,66.080002,4819400,66.080002
ZM,2019-10-21,65.290001,66.5,64.157997,65.769997,3076500,65.769997
ZM,2019-10-22,64.199997,64.599998,61.02,62,4584700,62
ZM,2019-10-23,61.330002,63.740002,60.967999,62.060001,3589200,62.060001
ZM,2019-10-24,63,65.940002,62.759998,64.519997,3433300,64.519997
ZM,2019-10-25,64.330002,64.989998,62.790001,63.450001,1921900,63.450001
ZM,2019-10-28,63.959999,67.470001,62.259998,66.559998,3509300,66.559998
ZM,2019-10-29,65.769997,67.110001,64.800003,65.489998,1825300,65.489998
ZM,2019-10-30,65.970001,70.089996,65.660004,70,4670300,70
ZM,2019-10-31,69.519997,70.080002,66.599998,69.889999,3405300,69.889999
ZM,2019-11-01,69.860001,70.550003,68.019997,70.389999,3561800,70.389999
ZM,2019-11-04,70.809998,70.849998,69.010002,70.120003,1563100,70.120003
ZM,2019-11-05,70.709999,70.849998,66.68,66.889999,1805900,66.889999
ZM,2019-11-06,66.949997,67.129997,65.360001,66.830002,1327400,66.830002
ZM,2019-11-07,67.029999,68.68,66.209999,66.809998,1128200,66.809998
ZM,2019-11-08,66.540001,70,66.519997,69.849998,1472400,69.849998
ZM,2019-11-11,69.510002,70.190002,67.760002,68.389999,1037500,68.389999
ZM,2019-11-12,68.5,70.050003,67.559998,68,1911000,68
ZM,2019-11-13,68,68.508003,66.870003,68.010002,1987000,68.010002
ZM,2019-11-14,67.769997,68.150002,66.709999,67.739998,932500,67.739998
ZM,2019-11-15,68.129997,71.099998,67.910004,70.010002,2311800,70.010002
ZM,2019-11-18,70.470001,71.139999,68.779999,70.080002,1676000,70.080002
ZM,2019-11-19,70.190002,70.332001,68.190002,69.639999,1704700,69.639999
ZM,2019-11-20,69.25,71.709999,68.550003,70.989998,2780700,70.989998
ZM,2019-11-21,71.5,71.949997,69.580002,69.919998,1127000,69.919998
ZM,2019-11-22,72,74,71.150002,73.160004,3051900,73.160004
ZM,2019-11-25,73.800003,75.059998,72.860001,74.550003,1936400,74.550003
ZM,2019-11-26,75,75.769997,74.760002,75.160004,1836500,75.160004
ZM,2019-11-27,75.809998,75.839996,73.360001,74.080002,1355900,74.080002
ZM,2019-11-29,74.099998,74.940002,73.860001,74.5,512600,74.5
ZM,2019-12-02,74.059998,74.5,68.459999,68.93,3138600,68.93
ZM,2019-12-03,66.720001,70.529999,66.050003,70.019997,2444200,70.019997
ZM,2019-12-04,70.5,70.900002,69.150002,69.959999,2076500,69.959999
ZM,2019-12-05,70.029999,70.75,69.220001,69.669998,3672600,69.669998
ZM,2019-12-06,64.260002,65.080002,62.110001,62.740002,11253600,62.740002
ZM,2019-12-09,62.389999,67.269997,62.330002,65.940002,5234100,65.940002
ZM,2019-12-10,65.489998,65.830002,63.389999,64.57,3895700,64.57
ZM,2019-12-11,64.239998,64.449997,62.049999,63.52,3685600,63.52
ZM,2019-12-12,63.490002,64.230003,62.119999,62.490002,3317300,62.490002
ZM,2019-12-13,62.5,63.75,62.02,63.540001,2489400,63.540001
ZM,2019-12-16,63.59,66.389999,63.560001,66.349998,3282800,66.349998
ZM,2019-12-17,66.620003,66.620003,65.400002,66.169998,2301000,66.169998
ZM,2019-12-18,66.220001,68.139999,66.040001,67.599998,2237000,67.599998
ZM,2019-12-19,67.75,68.459999,67.099998,68.18,1610500,68.18
ZM,2019-12-20,68.199997,68.480003,66.415001,66.93,2201400,66.93
ZM,2019-12-23,67.019997,67.5,65.93,66.150002,1663500,66.150002
ZM,2019-12-24,66.300003,66.885002,65.739998,66.459999,562600,66.459999
ZM,2019-12-26,66.5,68.190002,66.300003,67.449997,1387600,67.449997
ZM,2019-12-27,67.510002,67.959999,66.510002,66.639999,955400,66.639999
ZM,2019-12-30,66.559998,67.18,65.519997,66.790001,1162700,66.790001
ZM,2019-12-31,66.379997,68.18,66.309998,68.040001,1351400,68.040001
ZM,2020-01-02,68.800003,69.235001,68.019997,68.720001,1315500,68.720001
ZM,2020-01-03,67.620003,68.68,67.099998,67.279999,1127900,67.279999
ZM,2020-01-06,66.629997,70.495003,65.811996,70.32,3151600,70.32
ZM,2020-01-07,70.290001,72.838997,69.370003,71.900002,6985400,71.900002
ZM,2020-01-08,71.809998,73.290001,71.029999,72.550003,2482300,72.550003
ZM,2020-01-09,73.989998,74,71.349998,72.620003,2772000,72.620003
ZM,2020-01-10,73.080002,73.800003,72.25,73.089996,1655100,73.089996
ZM,2020-01-13,73.889999,75.580002,73.800003,74.029999,3347100,74.029999
ZM,2020-01-14,74.32,75.114998,72.260002,73.160004,1909500,73.160004
ZM,2020-01-15,73.279999,77.779999,73.199997,76.940002,3963500,76.940002
ZM,2020-01-16,78,78.790001,75.110001,76.110001,2998300,76.110001
ZM,2020-01-17,76.660004,76.900002,75.489998,75.559998,1357400,75.559998
ZM,2020-01-21,75.559998,77.120003,74.32,76.730003,1606700,76.730003
ZM,2020-01-22,77.07,77.106003,75.459999,75.540001,1501600,75.540001
ZM,2020-01-23,75.669998,75.970001,74.209999,74.470001,1279000,74.470001
ZM,2020-01-24,74.970001,76.184998,72.375,73,1660200,73
ZM,2020-01-27,71.330002,72.132004,70.32,70.440002,1750700,70.440002
ZM,2020-01-28,71,72.480003,70.260002,71.510002,1598200,71.510002
ZM,2020-01-29,72.510002,74.139999,71.212997,73.580002,1373400,73.580002
ZM,2020-01-30,73.099998,74.800003,72.550003,74.540001,1425400,74.540001
ZM,2020-01-31,74.269997,76.669998,73.300003,76.300003,2521700,76.300003
ZM,2020-02-03,77.690002,88.940002,77.510002,87.660004,12941300,87.660004
ZM,2020-02-04,91.040001,93.300003,83.5,85.790001,10611000,85.790001
ZM,2020-02-05,85.769997,90.970001,83.754997,86.989998,5126800,86.989998
ZM,2020-02-06,87,89.440002,85.260002,87.260002,2410800,87.260002
ZM,2020-02-07,87.230003,90.599998,86.809998,88.639999,2636600,88.639999
ZM,2020-02-10,89.089996,89.980003,86.910004,89.669998,2071600,89.669998
ZM,2020-02-11,90,90.5,87.93,88.68,2731900,88.68
ZM,2020-02-12,88.660004,89.5,86.519997,88.279999,1671100,88.279999
ZM,2020-02-13,87.610001,91.93,87,89.860001,3406400,89.860001
ZM,2020-02-14,90.879997,91.709999,89.809998,90.949997,2295000,90.949997
ZM,2020-02-18,93.019997,98.139999,92.400002,96.389999,5608200,96.389999
ZM,2020-02-19,100.32,105.080002,99.75,103.93,7793800,103.93
ZM,2020-02-20,104,110.75,101.43,105.290001,11293200,105.290001
ZM,2020-02-21,104.029999,104.290001,98.089996,101.760002,5519200,101.760002
ZM,2020-02-24,97.800003,110,97.019997,105.010002,12172800,105.010002
ZM,2020-02-25,108.519997,111.800003,104.466003,107.080002,13425900,107.080002
ZM,2020-02-26,109.943001,111.300003,105.599998,106.879997,6867500,106.879997
ZM,2020-02-27,109.43,118,107.599998,113.550003,13511800,113.550003
ZM,2020-02-28,121.07,121.93,97.370003,105,21617100,105
ZM,2020-03-02,109.349998,114.5,102.5,113.110001,10157400,113.110001
ZM,2020-03-03,114.550003,119.199997,112.110001,117.470001,11033700,117.470001
ZM,2020-03-04,118.510002,119.970001,113.110001,116.800003,12102600,116.800003
ZM,2020-03-05,110.25,129.830002,110,125,28149400,125
ZM,2020-03-06,119.650002,122,107,114.32,22975700,114.32
ZM,2020-03-09,105,116.5,100.879997,113.75,14571300,113.75
ZM,2020-03-10,113.800003,113.800003,105,108.489998,10244000,108.489998
ZM,2020-03-11,108.410004,113.989998,107,110.300003,12576700,110.300003
ZM,2020-03-12,106.25,113.871002,104.389999,109.470001,12097900,109.470001
ZM,2020-03-13,113,113.800003,104.160004,107.470001,9233500,107.470001
ZM,2020-03-16,105,119.870003,103.199997,107.860001,17210700,107.860001
ZM,2020-03-17,107.330002,113.830002,102,111.099998,18721500,111.099998
ZM,2020-03-18,111,119,108.849998,118.709999,13594300,118.709999
ZM,2020-03-19,122.949997,132.229996,119.099998,123.769997,16248400,123.769997
ZM,2020-03-20,129,135.979996,124,130.550003,13872600,130.550003
ZM,2020-03-23,141.996994,164.940002,137.25,159.559998,27681500,159.559998
ZM,2020-03-24,154,155,133.880005,135.179993,22401300,135.179993
ZM,2020-03-25,140.104996,149,136.199997,138.110001,14743000,138.110001
ZM,2020-03-26,140.509995,146.649994,138.199997,141.149994,9252700,141.149994
ZM,2020-03-27,145.699997,154.970001,145.600006,151.699997,13271900,151.699997
ZM,2020-03-30,160.759995,161.690002,147.199997,150.880005,15762200,150.880005
ZM,2020-03-31,147.020004,149.789993,143.356995,146.119995,10023700,146.119995
ZM,2020-04-01,144.5,144.600006,135.179993,137,11453300,137
ZM,2020-04-02,125.300003,133.488998,114.5,121.93,27313800,121.93
ZM,2020-04-03,124.300003,128.479996,120.110001,128.199997,12238100,128.199997
ZM,2020-04-06,113.629997,125.175003,108.529999,122.940002,25378900,122.940002
ZM,2020-04-07,118.004997,118.440002,109.570999,113.75,20166200,113.75
ZM,2020-04-08,115.019997,125.877998,112.5,117.809998,26243300,117.809998
ZM,2020-04-09,117.800003,125.5,114,124.510002,15513000,124.510002
ZM,2020-04-13,127,136.860001,125.603996,135.919998,15411700,135.919998
ZM,2020-04-14,141.070007,145.199997,139.009995,141.889999,11679900,141.889999
ZM,2020-04-15,141.710007,152.570007,140,151.559998,14193300,151.559998
ZM,2020-04-16,149.919998,154.25,146.800003,150.259995,15138200,150.259995
ZM,2020-04-17,147.910004,153.789001,144.029999,150.059998,11328400,150.059998
ZM,2020-04-20,153.300003,155,148.253998,148.990005,11218700,148.990005
ZM,2020-04-21,151.419998,154.75,138.360001,143.270004,9709100,143.270004
ZM,2020-04-22,147.100006,152.279999,145.100006,150.25,6520700,150.25
ZM,2020-04-23,154.009995,169.75,153.490005,169.089996,22159800,169.089996
ZM,2020-04-24,177.149994,181.5,158.300003,158.800003,43814100,158.800003
ZM,2020-04-27,156.589996,167.850006,155,164.600006,19783700,164.600006
ZM,2020-04-28,165,166,155.25,156.720001,13477800,156.720001
ZM,2020-04-29,147.979996,151,143.380005,146.479996,22033300,146.479996
ZM,2020-04-30,139.990005,143.800003,133.679993,135.169998,16682300,135.169998
ZM,2020-05-01,136,141.630005,132.669998,138.559998,13807000,138.559998
ZM,2020-05-04,140.770004,144.979996,140.449997,143.440002,9184700,143.440002
ZM,2020-05-05,144.429993,148.440002,140.860001,144.820007,7376300,144.820007
ZM,2020-05-06,145.470001,150.740005,144.089996,149.589996,6031100,149.589996
ZM,2020-05-07,154.839996,162,154.039993,157.800003,8388900,157.800003
ZM,2020-05-08,160,161.160004,152.705002,155.399994,7071800,155.399994
ZM,2020-05-11,159.429993,168,158,166.479996,10142700,166.479996
ZM,2020-05-12,168,168.229996,160.050003,161.039993,7102600,161.039993
ZM,2020-05-13,163.610001,171.5,159.169998,167.139999,11081300,167.139999
ZM,2020-05-14,168.259995,170.800003,162.889999,167.910004,6730500,167.910004
ZM,2020-05-15,166.75,175.440002,166.559998,174.830002,8540500,174.830002
ZM,2020-05-18,170.029999,173.440002,162.641998,164.690002,9608300,164.690002
ZM,2020-05-19,167,173.860001,166.210007,173.679993,8485500,173.679993
ZM,2020-05-20,173.529999,175.639999,170.529999,175.479996,6910000,175.479996
ZM,2020-05-21,175.960007,177.800003,168.360001,172.029999,5525300,172.029999
ZM,2020-05-22,171.860001,175.889999,170.199997,171.059998,4302200,171.059998
ZM,2020-05-26,169.100006,169.690002,163.119995,164,6689700,164
ZM,2020-05-27,158.009995,162.220001,149.160004,161.970001,10076700,161.970001
ZM,2020-05-28,159.229996,169.399994,159.199997,163.550003,6386800,163.550003
ZM,2020-05-29,168,179.990005,167.860001,179.479996,15219600,179.479996
ZM,2020-06-01,183.179993,205.869995,183,204.149994,24394400,204.149994
ZM,2020-06-02,210.25,212.690002,197.320007,208.080002,36853400,208.080002
ZM,2020-06-03,211.699997,224.460007,202.320007,223.869995,32390100,223.869995
ZM,2020-06-04,221,223,207.600006,210.350006,20212600,210.350006
ZM,2020-06-05,200.110001,208.940002,196.100006,207.600006,16298700,207.600006
ZM,2020-06-08,204.350006,211.440002,198.660004,209.830002,10457500,209.830002
ZM,2020-06-09,209.830002,210.589996,202.929993,205.429993,7521800,205.429993
ZM,2020-06-10,208.889999,221.529999,208.259995,221.020004,12241100,221.020004
ZM,2020-06-11,219.179993,232,218.5,222.070007,17615800,222.070007
ZM,2020-06-12,224.789993,231.449997,216.75,219.520004,8780400,219.520004
ZM,2020-06-15,227.839996,239.589996,226.380005,239.020004,13959100,239.020004
ZM,2020-06-16,235.990005,243.5,231.820999,242.559998,11333300,242.559998
ZM,2020-06-17,243.179993,243.880005,235.119995,236.759995,11704300,236.759995
ZM,2020-06-18,240.389999,242.610001,238.220001,241.570007,9340900,241.570007
ZM,2020-06-19,241.639999,243.570007,238.703995,243.479996,10077500,243.479996
ZM,2020-06-22,247.464996,254.899994,247.289993,251.270004,11093700,251.270004
ZM,2020-06-23,251.259995,254.774994,247.570007,252.809998,8791500,252.809998
ZM,2020-06-24,254.5,258.75,248.600006,255.899994,9862800,255.899994
ZM,2020-06-25,258.230011,260.290009,252.660004,259.51001,7490500,259.51001
ZM,2020-06-26,260.519989,261.619995,250.360001,256.799988,17142900,256.799988
ZM,2020-06-29,254.970001,255.899994,243.589996,248.559998,8436400,248.559998
ZM,2020-06-30,249.869995,256.829987,248.350006,253.539993,6305500,253.539993
ZM,2020-07-01,251.350006,261,247.210007,259.130005,6803300,259.130005
ZM,2020-07-02,261,263.799988,258,261.73999,5629000,261.73999
ZM,2020-07-06,265,275.079987,259.320007,261,12250200,261
ZM,2020-07-07,261.549988,266.450012,258.100006,262.100006,7819700,262.100006
ZM,2020-07-08,263.799988,268.528015,261.290009,266.320007,6012900,266.320007
ZM,2020-07-09,269.01001,272.700012,264.220001,269.519989,5396000,269.519989
ZM,2020-07-10,271.769989,278.160004,268.640015,275.869995,6354800,275.869995
ZM,2020-07-13,278.630005,281,256.338013,260.299988,9293000,260.299988
ZM,2020-07-14,260.959991,265.329987,240.449997,260.01001,8713100,260.01001
ZM,2020-07-15,253.699997,257.5,248.119995,256.220001,6073600,256.220001
ZM,2020-07-16,250.389999,253,243.429993,248.539993,5420100,248.539993
ZM,2020-07-17,247.169998,250.936996,241.289993,246.539993,4626600,246.539993
ZM,2020-07-20,246.487,271.350006,245.990005,268.579987,9784900,268.579987
ZM,2020-07-21,268.75,269.75,258.200012,260.440002,4756600,260.440002
ZM,2020-07-22,261.950012,265.399994,255.809998,261.179993,4581600,261.179993
ZM,2020-07-23,260.839996,264.899994,249.210007,251.5,4589400,251.5
ZM,2020-07-24,246.199997,250.210007,237.199997,246.559998,4303200,246.559998
ZM,2020-07-27,249.279999,252.970001,246.220001,252.330002,3328600,252.330002
ZM,2020-07-28,252.699997,258.910004,251.320007,252.179993,3366200,252.179993
ZM,2020-07-29,255.550003,259.929993,251.149994,252.389999,3333700,252.389999
ZM,2020-07-30,250.313995,256.325989,239.320007,250,7926100,250
ZM,2020-07-31,253.5,255.199997,248.360001,253.910004,3378800,253.910004
ZM,2020-08-03,256.829987,271.100006,256.109985,268,6779300,268
ZM,2020-08-04,268,269.190002,262,267.339996,3087300,267.339996
ZM,2020-08-05,266.290009,275.093994,262.519989,272.899994,4514900,272.899994
ZM,2020-08-06,273.869995,274.480011,263.910004,268.25,3602900,268.25
ZM,2020-08-07,266.450012,268,252.789993,258.730011,5024700,258.730011
ZM,2020-08-10,259.140015,261.440002,244.539993,250,5714000,250
ZM,2020-08-11,245.479996,245.479996,230,231.039993,9730500,231.039993
