date,AMZN_actual,MSFT_actual,AMZN_actual_quantile,MSFT_actual_quantile
1970-01-02T00:00:00Z,0,0,0.45802,0.45892
1970-01-03T00:00:00Z,-0.012213330318972204,-0.012529922497645174,0.22677,0.24191
1970-01-04T00:00:00Z,0.014775886796935644,0.0025814842464058074,0.76909,0.50682
1970-01-05T00:00:00Z,0.0020893716937750995,-0.009159578870194807,0.50892,0.29396
1970-01-06T00:00:00Z,-0.007839303378919915,0.015802853594549582,0.28528,0.74309
1970-01-07T00:00:00Z,0.00478779194272505,0.012415579742378391,0.61115,0.70093
1970-01-08T00:00:00Z,-0.009455155970723439,-0.004637797129971588,0.19388,0.3849
1970-01-09T00:00:00Z,0.00431321430912579,0.011952597660676467,0.59639,0.71165
1970-01-10T00:00:00Z,-0.011625560003446722,-0.007067998975713863,0.13973,0.31741
1970-01-11T00:00:00Z,-0.003976958540157227,0.006455329701812396,0.31492,0.62357
1970-01-12T00:00:00Z,0.008513469299727738,0.018157505574015964,0.7623,0.89921
1970-01-13T00:00:00Z,-0.007064507752156501,0.005581122830735197,0.2851,0.67839
1970-01-14T00:00:00Z,0.014523578405341908,-0.003597162087491945,0.85584,0.41057
1970-01-15T00:00:00Z,-0.0024024814288683416,-0.004816403092990917,0.39167,0.32799
1970-01-16T00:00:00Z,-0.0015270281455173063,0.006136858235574749,0.32684,0.65767
1970-01-17T00:00:00Z,-0.01224713332978844,-0.010127938214046672,0.17398,0.25589
1970-01-18T00:00:00Z,-0.018049394961066945,-0.016864594172978364,0.03135,0.02577
1970-01-19T00:00:00Z,0.013532421790246829,0.019406283892275944,0.86894,0.90628
1970-01-20T00:00:00Z,0.0025597858369543758,0.01547248857609862,0.48449,0.75477
1970-01-21T00:00:00Z,0.006801389605314512,0.027817098498599258,0.59086,0.99032
1970-01-22T00:00:00Z,0.07119565886318746,-0.014868662814173206,0.99783,0.32987
1970-01-23T00:00:00Z,-0.0022527346667153836,0.024086414343823748,0.35296,0.92419
1970-01-24T00:00:00Z,0.02243381233425623,0.03238641300141687,0.95089,0.98145
1970-01-25T00:00:00Z,-0.004792688643452614,-0.0012221600694735102,0.36207,0.54108
1970-01-26T00:00:00Z,0.005065894339626453,0.02052178315512876,0.52972,0.90311
1970-01-27T00:00:00Z,0.014069721665273427,0.0014148565549740866,0.76889,0.6959
1970-01-28T00:00:00Z,0.02593424254168486,0.02582068916152558,0.89795,0.83664
1970-01-29T00:00:00Z,0.007883952304784891,-0.022834218294113917,0.67577,0.25238
1970-01-30T00:00:00Z,0.004268332960466914,0.0014628473063327263,0.49641,0.68409
1970-01-31T00:00:00Z,-0.004700792078976335,-0.005428600064094624,0.31596,0.51922
1970-02-01T00:00:00Z,-0.007001619915846469,0.008887496543552587,0.29506,0.88123
1970-02-02T00:00:00Z,0.009695734222299635,0.010091824282032924,0.6765,0.83867
1970-02-03T00:00:00Z,0.006726987615739866,2.670315930934919e-4,0.78397,0.64015
1970-02-04T00:00:00Z,-0.00791982190152396,-0.01538906357687253,0.13454,0.23297
1970-02-05T00:00:00Z,-0.026892270094577064,-0.03212310083044656,0.07764,0.04299
1970-02-06T00:00:00Z,-0.042234994294974015,-0.044072584628637834,0.01521,0.05507
1970-02-07T00:00:00Z,-0.01835801097717127,-0.016639467869312696,0.13016,0.19701
1970-02-08T00:00:00Z,0.0034663011109570263,0.01241732469260537,0.63881,0.70012
1970-02-09T00:00:00Z,-0.0493333102313418,-0.07306434479250434,0.01487,0.0099
1970-02-10T00:00:00Z,-2.9195419209049334e-4,0.023924450022145827,0.53736,0.78876
1970-02-11T00:00:00Z,0.03658846872088706,0.06441891295339186,0.9405,0.94845
1970-02-12T00:00:00Z,-0.023278638532620022,-0.049105615575386174,0.20107,0.08771
1970-02-13T00:00:00Z,0.0344142398200562,0.03605719821676434,0.97587,0.84484
1970-02-14T00:00:00Z,-0.026566581256816768,-0.025415529345259813,0.20381,0.28662
1970-02-15T00:00:00Z,-0.011994571705508328,-0.02867446849593147,0.23431,0.10333
1970-02-16T00:00:00Z,-0.05430189995393864,-0.07017845313653037,0.06071,0.02827
1970-02-17T00:00:00Z,0.049413812088546116,0.06614725917596953,0.98221,0.92004
1970-02-18T00:00:00Z,-0.03823039142175766,-0.046360187964756605,0.16501,0.18141
1970-02-19T00:00:00Z,-0.08253502000834168,-0.0996416663997044,0.01009,0.00472
1970-02-20T00:00:00Z,0.0626445265225275,0.13292898015055243,0.9625,0.98042
1970-02-21T00:00:00Z,-0.05519295719426509,-0.15945341515051137,0.11456,0.03616
1970-02-22T00:00:00Z,0.06790728563448756,0.07912213250932609,0.92059,0.77668
1970-02-23T00:00:00Z,0.012183223181504665,-0.04300772894129068,0.67942,0.28193
1970-02-24T00:00:00Z,0.02745039723455811,0.01631919930615311,0.62433,0.48077
1970-02-25T00:00:00Z,-0.018696493550132587,-0.038282191937519805,0.45039,0.21365
1970-02-26T00:00:00Z,0.030272358029721502,-0.010024669543078346,0.74105,0.25486
1970-02-27T00:00:00Z,0.019397277200546625,0.08699912266110932,0.8649,0.92195
1970-02-28T00:00:00Z,-0.028366178815569576,-0.009618702004715374,0.10528,0.41369
1970-03-01T00:00:00Z,0.036267469352453396,0.06067268603569875,0.86725,0.89274
1970-03-02T00:00:00Z,-0.028734292569471798,-0.041927621988812724,0.27423,0.17961
1970-03-03T00:00:00Z,0.03305122267458138,0.06797698667017205,0.71509,0.86572
1970-03-04T00:00:00Z,-0.007271968761875414,-0.015852310170944683,0.59265,0.32198
1970-03-05T00:00:00Z,-0.021787455374187026,-0.03615399798688834,0.08355,0.03844
1970-03-06T00:00:00Z,0.005817300090687816,0.020497148875647575,0.64291,0.57472
1970-03-07T00:00:00Z,-0.006399314072575102,-0.009252989204464157,0.45081,0.34316
1970-03-08T00:00:00Z,0.04662514865111156,0.07173241478652947,0.94863,0.98255
1970-03-09T00:00:00Z,0.006988976441692607,-0.010828667385323065,0.87087,0.44721
1970-03-10T00:00:00Z,0.015488902450614184,0.009981215783839481,0.48128,0.33775
1970-03-11T00:00:00Z,-1.1747630780511997e-4,6.052017974411683e-5,0.64301,0.50788
1970-03-12T00:00:00Z,0.05990450901187039,0.0022379928089790724,0.99403,0.34161
1970-03-13T00:00:00Z,0.05142420541456172,0.04829807023310817,0.97393,0.99605
1970-03-14T00:00:00Z,0.010612107432126372,-0.010533067979045185,0.88335,0.35453
1970-03-15T00:00:00Z,0.042632742102363785,0.029579068206849968,0.8723,0.78902
1970-03-16T00:00:00Z,-0.013877966001997422,0.008773045833316395,0.41757,0.66978
1970-03-17T00:00:00Z,0.007805293812528369,-0.020019941157385368,0.48221,0.10195
1970-03-18T00:00:00Z,-0.027741606111518102,-0.04223674272635769,0.13465,0.08986
1970-03-19T00:00:00Z,0.015078210810229642,0.033400871417436306,0.82737,0.85915
1970-03-20T00:00:00Z,0.015100188005348514,-0.012176215767230048,0.61051,0.40473
1970-03-21T00:00:00Z,0.004478493607986245,0.018094576934610807,0.80717,0.60822
1970-03-22T00:00:00Z,-0.014299616110780455,-0.002868619244223325,0.08152,0.36534
1970-03-23T00:00:00Z,-0.02640616745041502,-0.024662478313532965,0.084,0.0634
1970-03-24T00:00:00Z,0.0250205113234081,0.043895972302967934,0.88095,0.91409
1970-03-25T00:00:00Z,0.04180352859690384,0.00998221613230843,0.89664,0.71744
1970-03-26T00:00:00Z,-0.07901519387792,-0.026232494180401744,0.01681,0.09141
1970-03-27T00:00:00Z,0.013016157501951398,0.02416568156420329,0.55573,0.82349000000000006
1970-03-28T00:00:00Z,7.812434645630972e-4,0.010678627882673375,0.63618,0.48625
1970-03-29T00:00:00Z,0.014332877875092187,0.009799131858879484,0.62429,0.67319
1970-03-30T00:00:00Z,0.006929693771216883,0.005790222125156674,0.69929,0.51624
1970-03-31T00:00:00Z,0.005055600969890328,0.005865048869258871,0.60894,0.74541
1970-04-01T00:00:00Z,0.012275069957644824,0.011092742095588193,0.65258,0.69647
1970-04-02T00:00:00Z,-0.02184333410020134,-0.022912363184805606,0.19192,0.04936
1970-04-03T00:00:00Z,0.004643510194454414,-0.015237942045013497,0.38464,0.07679
1970-04-04T00:00:00Z,0.008800219892060035,0.004329966808165331,0.80255,0.42501
1970-04-05T00:00:00Z,0.008723349443907402,0.014463146218401945,0.62602,0.82607
1970-04-06T00:00:00Z,0.006815512138015123,0.009509132223316286,0.61906,0.63995
1970-04-07T00:00:00Z,0.009463568413782042,-0.0069463510912859405,0.79049,0.4108
1970-04-08T00:00:00Z,0.019651818965332524,0.01099417475679143,0.84823,0.56648
1970-04-09T00:00:00Z,-0.020709846405971177,-0.012083980351983215,0.13815,0.11764
1970-04-10T00:00:00Z,-0.004038037625551105,4.360495115491858e-4,0.20193,0.37614
1970-04-11T00:00:00Z,-0.006182600375637115,-0.010627841840912033,0.3145,0.17448
1970-04-12T00:00:00Z,-0.00474736842774881,0.0013208818954870694,0.35522,0.52438
1970-04-13T00:00:00Z,-0.0038615092459570732,-0.0022576701257257525,0.24759,0.30627
1970-04-14T00:00:00Z,0.01704192076783606,0.01014683616180001,0.89455,0.71107
1970-04-15T00:00:00Z,0.011670203169452442,-0.0022945704872228134,0.64869,0.19065
1970-04-16T00:00:00Z,5.542174184594018e-4,0.011312471571502059,0.55408,0.78963
1970-04-17T00:00:00Z,0.0024198032838596006,0.002430643667988619,0.50616,0.48331
1970-04-18T00:00:00Z,-0.0072078886672120035,-0.013250997662915154,0.14693,0.12773
1970-04-19T00:00:00Z,0.009062244054414137,0.023128660161737535,0.84647,0.87278
1970-04-20T00:00:00Z,0.016401233036239304,0.006177482666485545,0.82151,0.53336
1970-04-21T00:00:00Z,0.029973461144092717,0.007615871297602439,0.97088,0.61509
1970-04-22T00:00:00Z,0.017754693359083973,0.03642029369476596,0.8188,0.9995
1970-04-23T00:00:00Z,-0.03438684349415677,-0.05519394015759005,0.03279,0.00534
1970-04-24T00:00:00Z,-0.005071534195026928,0.007860798022307769,0.42182,0.48681
1970-04-25T00:00:00Z,0.010809614315860472,0.006371461384937049,0.66169,0.54263
1970-04-26T00:00:00Z,0.01641921962020554,0.024209725393722792,0.81947,0.87131
1970-04-27T00:00:00Z,0.009782702511989427,0.0034552932924016844,0.70745,0.55565
1970-04-28T00:00:00Z,0.004910339726426294,0.010651483006188123,0.5646,0.87225
1970-04-29T00:00:00Z,0.00789272984629985,-0.00597755373762876,0.75545,0.36735
1970-04-30T00:00:00Z,0.014404139102294877,0.027394885017445247,0.7416,0.83924
1970-05-01T00:00:00Z,0.018469937317528995,0.006658725474601113,0.93364,0.56246
1970-05-02T00:00:00Z,-0.010915201277350128,-0.02036347037828712,0.13095,0.09042
1970-05-03T00:00:00Z,0.007353011669397169,0.012557300222757917,0.70241,0.68847
1970-05-04T00:00:00Z,-0.022657426397729274,-0.020218976119972254,0.07517,0.11188
1970-05-05T00:00:00Z,-0.004649050945570998,0.010689870413872704,0.27491,0.63045
1970-05-06T00:00:00Z,0.028844544860107568,0.02522832164417821,0.96792,0.83982
1970-05-07T00:00:00Z,0.042535709605040495,0.005830358856011131,0.91684,0.64178
1970-05-08T00:00:00Z,0.004021533587716064,0.007592006635023907,0.62923,0.70326
1970-05-09T00:00:00Z,0.05608682038563906,0.021297821925215565,0.97714,0.95547
1970-05-10T00:00:00Z,-0.01879481343754641,-0.011696025524937426,0.12125,0.25773
1970-05-11T00:00:00Z,0.026637629532308083,0.021754453324931866,0.93272,0.87894
1970-05-12T00:00:00Z,0.032417905843853845,0.006976523525909606,0.87966,0.63074
1970-05-13T00:00:00Z,0.005442947562949385,-0.003037498503124958,0.58709,0.59451
1970-05-14T00:00:00Z,-0.030459207484708983,-0.03137582523774274,0.16397,0.07819
1970-05-15T00:00:00Z,-0.006464146619888922,0.00616245250923253,0.31116,0.82027
1970-05-16T00:00:00Z,-0.024662823823620172,-0.0014890514086625117,0.14274,0.47946
1970-05-17T00:00:00Z,-0.002985709766011979,-0.02000258499740415,0.33805,0.11253
1970-05-18T00:00:00Z,-0.012724344399612342,-0.005113054366121084,0.19724,0.27647
1970-05-19T00:00:00Z,0.07630827172167276,0.042083032445560775,0.9982,0.99507
1970-05-20T00:00:00Z,-0.01848477141426841,-0.013560364608566466,0.17936,0.40996
1970-05-21T00:00:00Z,-0.012305027595573392,0.01426896980119885,0.30723,0.86569
1970-05-22T00:00:00Z,-0.0372541589610087,-0.0444689701890999,0.1505,0.01125
1970-05-23T00:00:00Z,0.007458966222261054,-0.006141015794188576,0.58116,0.30611
1970-05-24T00:00:00Z,0.015270459581953943,0.012588111149793413,0.73827,0.65033
1970-05-25T00:00:00Z,-0.018126008651183412,-0.009017736497611395,0.10816,0.33483
1970-05-26T00:00:00Z,0.011004658861947902,0.010047336245063043,0.75681,0.67408
1970-05-27T00:00:00Z,0.006030788354866701,-7.844102919012386e-4,0.61354,0.547
1970-05-28T00:00:00Z,0.03629416731974544,0.005429085893210228,0.94077,0.52561
1970-05-29T00:00:00Z,-0.016821698888779935,0.0547165215087313,0.26782,0.99533
1970-05-30T00:00:00Z,0.008619919604843318,-0.015122546322396957,0.56619,0.29134
1970-05-31T00:00:00Z,0.020871315883200126,-0.001642263954987122,0.83782,0.64516
1970-06-01T00:00:00Z,0.006211490496218275,0.015887049124956754,0.53371,0.86685
1970-06-02T00:00:00Z,-0.01800295768274296,-0.018049646940966113,0.09621,0.19515
1970-06-03T00:00:00Z,-0.006111865333044975,-0.020108566415815154,0.28822,0.11392
1970-06-04T00:00:00Z,-0.02167104675485554,-0.023663106099439446,0.02721,0.07485
1970-06-05T00:00:00Z,0.02613355359578584,0.028166764514202747,0.88626,0.91535
1970-06-06T00:00:00Z,-3.858674206682622e-4,-0.0023451397532614493,0.39437,0.53969
1970-06-07T00:00:00Z,-0.004121076523881939,9.578401321892471e-4,0.44719,0.62059
1970-06-08T00:00:00Z,0.010865053614860898,0.006584331355039552,0.72186,0.60929
1970-06-09T00:00:00Z,0.040061425677794915,0.005737768490755357,0.94948,0.56572
1970-06-10T00:00:00Z,-0.015825751751265216,-0.008499816084715839,0.13369,0.22182
1970-06-11T00:00:00Z,0.011250798839386178,0.023004714927410852,0.71475,0.97756
1970-06-12T00:00:00Z,-0.003843812954928083,-0.007296561736533924,0.43324,0.48837
1970-06-13T00:00:00Z,0.006899107861762843,0.0031402992251248207,0.58443,0.73524
1970-06-14T00:00:00Z,0.011731520953327745,0.012925598313617392,0.66401,0.7815
1970-06-15T00:00:00Z,0.028097113629181436,0.02138920285208723,0.90775,0.86628
1970-06-16T00:00:00Z,-0.012233714376332472,0.02425691508881833,0.19269,0.96905
1970-06-17T00:00:00Z,5.292860798782328e-4,0.010230838405782983,0.56366,0.86634
1970-06-18T00:00:00Z,0.014347724202261602,-0.014875747324013311,0.865,0.43449
1970-06-19T00:00:00Z,0.01385909984320044,0.007685572232115412,0.87368,0.81963
1970-06-20T00:00:00Z,0.009196995854155787,0.019088830375380894,0.75633,0.87444
1970-06-21T00:00:00Z,-0.047389441221531214,-0.06394868489333039,0.02175,0.00775
1970-06-22T00:00:00Z,-0.02202822581564945,-0.014135343590293559,0.17733,0.28594
1970-06-23T00:00:00Z,-0.04493918472979708,-0.05561383972022682,0.0344,0.02508
1970-06-24T00:00:00Z,0.03701316498695029,0.0417018465379444,0.92734,0.91464
1970-06-25T00:00:00Z,-0.029022539708165596,-0.028418358289907353,0.06039,0.25901
1970-06-26T00:00:00Z,-0.018721591565748597,-0.006546169051282469,0.17063999999999999,0.31946
1970-06-27T00:00:00Z,-0.004261011537211701,0.006740964319912557,0.51049,0.53806
1970-06-28T00:00:00Z,0.01698684843560727,0.016273059916091626,0.62337,0.78471
1970-06-29T00:00:00Z,-0.0250340010903205,-0.01802719472177472,0.17839,0.24511
1970-06-30T00:00:00Z,-0.022794499188787398,-0.010491315775940535,0.1702,0.34431
1970-07-01T00:00:00Z,-0.01804989240644872,-0.01249708791692239,0.14314,0.13906
1970-07-02T00:00:00Z,0.0018798659586911626,0.010671900567280623,0.61968,0.62003
1970-07-03T00:00:00Z,0.05536223585728184,0.02380835017625227,0.99358,0.79691
1970-07-04T00:00:00Z,-0.042144608995631216,-0.033482709623883444,0.05629,0.04425
1970-07-05T00:00:00Z,0.006621648879121977,0.012878507842493114,0.53451,0.68192
1970-07-06T00:00:00Z,0.024642565224173296,0.02253084236956937,0.75769,0.7815
1970-07-07T00:00:00Z,0.02517851972675267,0.007764957603368927,0.79247,0.60244
1970-07-08T00:00:00Z,-0.009232693992634822,-0.010463292079081477,0.32074,0.28518
1970-07-09T00:00:00Z,0.0012234941676041444,0.014703715764070147,0.54129,0.86931
1970-07-10T00:00:00Z,0.0227733998830697,0.010076032903391763,0.91749,0.75179
1970-07-11T00:00:00Z,-0.030338307280572963,-0.029955684797830173,0.03825,0.13335
1970-07-12T00:00:00Z,0.023466480045778226,0.020117359576230953,0.91092,0.81072
1970-07-13T00:00:00Z,-0.0315115676329043,-0.02147624353162758,0.15237,0.11602
1970-07-14T00:00:00Z,0.030413812890676795,0.018858489052111516,0.82278,0.72472
1970-07-15T00:00:00Z,-0.0016096774057547947,0.0035679493280618146,0.4763,0.65772
1970-07-16T00:00:00Z,0.02967544803590627,0.024532743759769993,0.84253,0.96325
1970-07-17T00:00:00Z,0.04645405417042703,0.02557261148830392,0.98916,0.78628
1970-07-18T00:00:00Z,2.032803086642332e-4,0.006572782931764998,0.39042,0.69663
1970-07-19T00:00:00Z,-0.02348159369737779,-0.009014754959290272,0.0453,0.23412
1970-07-20T00:00:00Z,-0.0074780155925697755,-0.005448106576579903,0.34932,0.49126
1970-07-21T00:00:00Z,-0.019948128361905404,0,0.14278,0.5551
1970-07-22T00:00:00Z,-0.020216987783573614,-0.025077385565578147,0.34206,0.08198
1970-07-23T00:00:00Z,0.003050971680970349,0.002005237713506247,0.49403,0.474
1970-07-24T00:00:00Z,-0.010018927829252178,6.986098831021081e-4,0.36362,0.48415
1970-07-25T00:00:00Z,-0.0026849828310684387,4.188880397357764e-4,0.34211,0.44281
1970-07-26T00:00:00Z,0.008776385589493785,0.006216372846056473,0.73175,0.68629
1970-07-27T00:00:00Z,8.235707340400467e-4,-0.028854217412313865,0.49486,0.00367
1970-07-28T00:00:00Z,0.02442305884739504,0.014976766297119859,0.95716,0.80724
1970-07-29T00:00:00Z,-0.038320067504333366,-0.05083684030128133,0.07562,0.03012
1970-07-30T00:00:00Z,0.01513413565844779,0.0100148506657467,0.74426,0.44261
1970-07-31T00:00:00Z,-0.05599529936162817,-0.011051464373825759,0.06805,0.30727
1970-08-01T00:00:00Z,-0.010485731718476998,-6.916946864832241e-4,0.21337,0.40413
1970-08-02T00:00:00Z,0.014515612915012355,0.020061300296752904,0.83969,0.94496
1970-08-03T00:00:00Z,0.06131114892294498,0.04712099258970781,0.99844,0.96065
1970-08-04T00:00:00Z,0.024635747921825768,0.03138901312815712,0.91119000000000006,0.90253
1970-08-05T00:00:00Z,-0.0032049748202087613,0.0019239307326976984,0.41144,0.60797
1970-08-06T00:00:00Z,-0.05194886560547829,-0.024112823725544352,0.08167,0.10654
1970-08-07T00:00:00Z,-0.035195149900092204,-0.034376948675310715,0.16203,0.05259
1970-08-08T00:00:00Z,0.033173189112233104,0.025915979491843544,0.85188,0.80562
1970-08-09T00:00:00Z,-0.00867844636080406,-0.005139023727577907,0.34147,0.46674
1970-08-10T00:00:00Z,0.00593999580784299,0.004954254871998742,0.56953,0.53064
1970-08-11T00:00:00Z,7.188647861635644e-4,0.0033199689965064394,0.51681,0.56791
1970-08-12T00:00:00Z,0.00146802596809259,-0.012833408223057674,0.44416,0.21891
1970-08-13T00:00:00Z,-0.009677810176640378,-0.01588605541957122,0.28658,0.09924
1970-08-14T00:00:00Z,0.0037155836048388124,0.006328219465537188,0.54286,0.62028
1970-08-15T00:00:00Z,-0.005668910854975451,-0.009602491014232939,0.31238,0.1948
1970-08-16T00:00:00Z,-3.2592554518551253e-4,-0.0013317386034819023,0.4661,0.45385
1970-08-17T00:00:00Z,0.006328445270126437,0.017690392144097622,0.63683,0.75332
1970-08-18T00:00:00Z,0.021263255677185455,4.673041449088089e-5,0.94704,0.54151
1970-08-19T00:00:00Z,0.0032192378290218926,0.006338874772359837,0.53427,0.575
1970-08-20T00:00:00Z,-0.008580413537677245,-0.005404108152602838,0.19656,0.30521
